EXCHANGE_RATES,Amount of foreign currency equivalent to 1 USD,,,,Key Formula:
Column Name,Definition,Source Currency,,,The excess return of a foreign currency from the perspective of a U.S. investor is:
DAY_DATE,Calendar date (daily frequency),—,,,Excess Return = Change in exchange rate + (Foreign spot rate – U.S. spot rate)
AUD_EXCH_RATE,AUD/USD exchange rate (Australian Dollar vs. US Dollar),AUD,,,"That is, the excess return of foreign currency equals the daily appreciation (or depreciation) of the foreign currency versus the USD plus the interest rate differential. "
BRL_EXCH_RATE,BRL/USD exchange rate (Brazilian Real vs. US Dollar),BRL,,,The interest rate differential is often referred to as “carry.”
CAD_EXCH_RATE,CAD/USD exchange rate (Canadian Dollar vs. US Dollar),CAD,,,
CHF_EXCH_RATE,CHF/USD exchange rate (Swiss Franc vs. US Dollar),CHF,,,
EUR_EXCH_RATE,EUR/USD exchange rate (Euro vs. US Dollar),EUR,,,
GBP_EXCH_RATE,GBP/USD exchange rate (British Pound vs. US Dollar),GBP,,,
JPY_EXCH_RATE,JPY/USD exchange rate (Japanese Yen vs. US Dollar),JPY,,,
MXN_EXCH_RATE,MXN/USD exchange rate (Mexican Peso vs. US Dollar),MXN,,,
,,,,,
,,,,,
SPOT_RATES,Annualized interest rate paid on foreign currencies,,,,
Column Name,Definition,,,,
DAY_DATE,Calendar date of observation (daily frequency),,,,
AUD_RF_RATE,"Annualized spot rate for the Australian Dollar (AUD), set by the Reserve Bank of Australia (RBA). Typically corresponds to the cash rate target.",,,,
BRL_RF_RATE,"Annualized spot rate for the Brazilian Real (BRL), set by the Central Bank of Brazil (BCB). Typically corresponds to the SELIC rate.",,,,
CAD_RF_RATE,"Annualized spot rate for the Canadian Dollar (CAD), set by the Bank of Canada (BoC). Typically corresponds to the overnight target rate.",CAD,,,
CHF_RF_RATE,"Annualized spot rate for the Swiss Franc (CHF), set by the Swiss National Bank (SNB). Typically corresponds to the policy or sight deposit rate.",CHF,,,
EUR_RF_RATE,"Annualized spot rate for the Euro (EUR), set by the European Central Bank (ECB). Typically corresponds to the deposit facility rate or ESTR overnight rate.",EUR,,,
GBP_RF_RATE,"Annualized spot rate for the British Pound (GBP), set by the Bank of England (BoE). Typically corresponds to the Bank Rate.",GBP,,,
JPY_RF_RATE,"Annualized spot rate for the Japanese Yen (JPY), set by the Bank of Japan (BoJ). Typically corresponds to the uncollateralized overnight call rate.",JPY,,,
MXN_RF_RATE,"Annualized spot rate for the Mexican Peso (MXN), set by Banco de México (Banxico). Typically corresponds to the overnight interbank rate.",MXN,,,
,,,,,
,,,,,
EQUITY_RETURNS,Forward 1-day returns for the S&P500 Total Return Index,,,,
Column Name,Definition,,,,
DAY_DATE,Trading date of observation (daily frequency),,,,
DIRECTION,Denotes that returns are forward (close-to-close from time t to t+1),,,,
SPX_TR,Forward 1-day return of the S&P500 Total Return Index (from market close on {DAY_DATE} to the close of the following trading day,,,,
,,,,,
,,,,,
FED_FUNDS,Annualized fed-funds rate,,,,
DAY_DATE,Calendar date (daily frequency),,,,
USD_RF_RATE,"Annualized spot rate for the U.S. Dollar (USD), set by the Federal Reserve (Fed). Typically corresponds to the Federal Funds Target Rate.",,,,